"ID","CountryCode","Year","GenderCode","TobaccoPrevalence","LifeExpectancy","Mortality","LowestPricEstTobacco","PremiumPricEstTobacco","MediumPriceEstTobacco","TotalTax","cost_mean","MediumPriceEstTobacco_who","AveragePrev","TobaccoPrevalence_who"
"CMR2007M","CMR",2007,"MLE",NA,NA,31.35,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2008B","CMR",2008,"BTSX",NA,NA,27.9,NA,NA,"500","0.32",NA,NA,NA,NA
"CMR2008F","CMR",2008,"FMLE",NA,NA,25.17,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2008M","CMR",2008,"MLE",NA,NA,30.91,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2009B","CMR",2009,"BTSX",NA,NA,27.66,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2009F","CMR",2009,"FMLE",NA,NA,25.03,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2009M","CMR",2009,"MLE",NA,NA,30.57,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2011B","CMR",2011,"BTSX",NA,NA,27.23,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2011F","CMR",2011,"FMLE",NA,NA,24.72,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2011M","CMR",2011,"MLE",NA,NA,29.98,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2012B","CMR",2012,"BTSX",NA,NA,26.96,NA,NA,"500","0.42",NA,NA,NA,NA
"CMR2012F","CMR",2012,"FMLE",NA,NA,24.31,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2012M","CMR",2012,"MLE",NA,NA,29.86,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2013B","CMR",2013,"BTSX",NA,NA,26.74,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2013F","CMR",2013,"FMLE",NA,NA,24.58,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2013M","CMR",2013,"MLE",NA,NA,29.13,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2014B","CMR",2014,"BTSX",NA,NA,26.22,NA,NA,"500","0.4",NA,NA,NA,NA
"CMR2014F","CMR",2014,"FMLE",NA,NA,24.31,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2014M","CMR",2014,"MLE",NA,NA,28.37,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2016B","CMR",2016,"BTSX",NA,NA,24.97,NA,NA,"500","0.47",NA,NA,NA,NA
"CMR2016F","CMR",2016,"FMLE",NA,NA,23.15,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2016M","CMR",2016,"MLE",NA,NA,26.99,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2017B","CMR",2017,"BTSX",NA,NA,24.39,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2017F","CMR",2017,"FMLE",NA,NA,22.58,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2017M","CMR",2017,"MLE",NA,NA,26.4,NA,NA,NA,NA,NA,NA,NA,NA
"COD2001B","COD",2001,"BTSX",NA,NA,27.93,NA,NA,NA,NA,NA,NA,NA,NA
"COD2001F","COD",2001,"FMLE",NA,NA,25.05,NA,NA,NA,NA,NA,NA,NA,NA
"COD2001M","COD",2001,"MLE",NA,NA,31.16,NA,NA,NA,NA,NA,NA,NA,NA
"COD2002B","COD",2002,"BTSX",NA,NA,27.52,NA,NA,NA,NA,NA,NA,NA,NA
"COD2002F","COD",2002,"FMLE",NA,NA,24.86,NA,NA,NA,NA,NA,NA,NA,NA
"COD2002M","COD",2002,"MLE",NA,NA,30.5,NA,NA,NA,NA,NA,NA,NA,NA
"COD2003B","COD",2003,"BTSX",NA,NA,27.94,NA,NA,NA,NA,NA,NA,NA,NA
"COD2003F","COD",2003,"FMLE",NA,NA,25.41,NA,NA,NA,NA,NA,NA,NA,NA
"COD2003M","COD",2003,"MLE",NA,NA,30.76,NA,NA,NA,NA,NA,NA,NA,NA
"COD2004B","COD",2004,"BTSX",NA,NA,27.78,NA,NA,NA,NA,NA,NA,NA,NA
"COD2004F","COD",2004,"FMLE",NA,NA,25.55,NA,NA,NA,NA,NA,NA,NA,NA
"COD2004M","COD",2004,"MLE",NA,NA,30.28,NA,NA,NA,NA,NA,NA,NA,NA
"COD2006B","COD",2006,"BTSX",NA,NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA
"COD2006F","COD",2006,"FMLE",NA,NA,25.43,NA,NA,NA,NA,NA,NA,NA,NA
"COD2006M","COD",2006,"MLE",NA,NA,29.4,NA,NA,NA,NA,NA,NA,NA,NA
"COD2007B","COD",2007,"BTSX",NA,NA,26.79,NA,NA,NA,NA,NA,NA,NA,NA
"COD2007F","COD",2007,"FMLE",NA,NA,25.04,NA,NA,NA,NA,NA,NA,NA,NA
"COD2007M","COD",2007,"MLE",NA,NA,28.74,NA,NA,NA,NA,NA,NA,NA,NA
"COD2008B","COD",2008,"BTSX",NA,NA,26.8,NA,NA,"600","0.29",NA,NA,NA,NA
